sample_step	mode	langevin_steps	scale	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
5	all	1	0.0	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.0_seed2
5	all	1	0.0	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.0_seed3
5	all	1	0.0	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.0_seed4
5	all	1	0.05	0	48.5380	76.4706	50.5132	20.4232	55.4857	75.5370	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.05_seed0
5	all	1	0.05	1	48.3402	75.7570	48.6639	20.2676	55.6024	72.7888	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.05_seed1
5	all	1	0.05	2	48.9421	75.6857	52.8095	20.4420	55.9465	75.1309	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.05_seed2
5	all	1	0.05	3	48.5365	76.6982	49.1945	22.2937	55.2478	74.7754	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.05_seed3
5	all	1	0.05	4	48.1688	75.2713	50.6083	21.0786	55.2468	73.1669	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.05_seed4
5	all	1	0.1	0	48.6383	76.4831	50.5375	20.5030	55.5970	75.5575	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.1_seed0
5	all	1	0.1	1	48.3387	75.7778	48.6849	20.2710	55.5910	72.7847	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.1_seed1
5	all	1	0.1	2	48.9606	75.7125	52.7998	20.4733	55.9819	75.1212	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.1_seed2
5	all	1	0.1	3	48.5564	76.6786	49.1932	22.2617	55.2935	74.7913	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.1_seed3
5	all	1	0.1	4	48.1526	75.3162	50.6193	21.0923	55.2435	73.1598	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k1_scale0.1_seed4
5	all	2	0.0	0	48.6758	76.4759	50.5253	20.5990	55.6235	75.5416	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.0_seed0
5	all	2	0.0	1	48.3366	75.7781	48.6222	20.2680	55.6057	72.7262	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.0_seed1
5	all	2	0.0	2	48.9458	75.6909	52.7397	20.4312	56.0576	74.7332	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.0_seed2
5	all	2	0.0	3	48.4557	76.6966	49.1994	22.2522	55.1438	74.7900	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.0_seed3
5	all	2	0.0	4	48.2727	75.2868	50.6671	21.1039	55.3670	73.1602	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.0_seed4
5	all	2	0.05	0	48.6383	76.4832	50.5375	20.5030	55.5970	75.5575	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.05_seed0
5	all	2	0.05	1	48.3386	75.7777	48.6853	20.2702	55.5910	72.7855	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.05_seed1
5	all	2	0.05	2	48.9605	75.7122	52.7997	20.4731	55.9820	75.1212	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.05_seed2
5	all	2	0.05	3	48.5564	76.6785	49.1932	22.2616	55.2934	74.7912	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.05_seed3
5	all	2	0.05	4	48.1526	75.3162	50.6193	21.0923	55.2434	73.1598	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.05_seed4
5	all	2	0.1	0	48.8365	76.5086	50.5267	20.4876	55.9324	75.3606	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.1_seed0
5	all	2	0.1	1	48.5189	75.6650	49.4022	20.5012	55.7844	72.7608	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.1_seed1
5	all	2	0.1	2	48.9274	75.7318	52.8469	20.4008	55.9349	75.1535	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.1_seed2
5	all	2	0.1	3	48.3253	76.3682	48.4969	21.8001	55.1786	74.7781	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.1_seed3
5	all	2	0.1	4	48.2030	75.2961	50.6252	21.0858	55.2519	73.6088	/dev/shm/diffdet_eval_guidance_sweep_qhead_seed42_step5/step5_modeall_k2_scale0.1_seed4
