exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	MR	JI	inference_s_per_img	inference_fps	out_dir
rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10	/data/tiasha_archives_runs/mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344/iter_10000.pth	1d2971d8cb8f6b7132b34961722857e05a6e9a459c303b4af8f0e22930018ed8	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/lvis_graph_diffusion_r50_fpn_teacher_focal_iter150k_bs2_lr5e5.py	10	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			0.278837	3.586	/data/tiasha_archives_runs/mmdet3_evals_20251226/rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10/evalseed0
rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10	/data/tiasha_archives_runs/mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344/iter_10000.pth	1d2971d8cb8f6b7132b34961722857e05a6e9a459c303b4af8f0e22930018ed8	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/lvis_graph_diffusion_r50_fpn_teacher_focal_iter150k_bs2_lr5e5.py	10	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			0.955221	1.047	/data/tiasha_archives_runs/mmdet3_evals_20251226/rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10/evalseed1
rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10	/data/tiasha_archives_runs/mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344/iter_10000.pth	1d2971d8cb8f6b7132b34961722857e05a6e9a459c303b4af8f0e22930018ed8	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/lvis_graph_diffusion_r50_fpn_teacher_focal_iter150k_bs2_lr5e5.py	10	2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			1.211145	0.826	/data/tiasha_archives_runs/mmdet3_evals_20251226/rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10/evalseed2
rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10	/data/tiasha_archives_runs/mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344/iter_10000.pth	1d2971d8cb8f6b7132b34961722857e05a6e9a459c303b4af8f0e22930018ed8	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/lvis_graph_diffusion_r50_fpn_teacher_focal_iter150k_bs2_lr5e5.py	10	3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			0.851249	1.175	/data/tiasha_archives_runs/mmdet3_evals_20251226/rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10/evalseed3
rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10	/data/tiasha_archives_runs/mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344/iter_10000.pth	1d2971d8cb8f6b7132b34961722857e05a6e9a459c303b4af8f0e22930018ed8	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/lvis_graph_diffusion_r50_fpn_teacher_focal_iter150k_bs2_lr5e5.py	10	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			0.521698	1.917	/data/tiasha_archives_runs/mmdet3_evals_20251226/rerun_mmdet3_lvis_teacher_focal_bs2_lr5e5_mmdet3_lvis_teacher_focal_bs2_lr5e5_iter150k_20251226_083344_iter10000_step10/evalseed4
