exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	49.6996	77.1044	52.6777	22.3303	56.3524	75.1798	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed0
sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	49.6173	77.0912	50.3950	23.0566	55.7909	74.6273	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed1
sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	49.3826	77.4180	53.1992	21.8252	56.2793	73.4360	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed2
sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	49.2045	76.8347	52.4021	21.3747	56.3095	73.4644	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed3
sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	92e235353cd30d3253a7b36a20cf9b1f69d061a7661ce9d83059d5f5a9b7288a	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	49.9149	77.7842	54.0467	23.0567	56.8542	73.9396	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed0_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed4
