exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150.pth	7f39480df6ad27fc6ff29cebb29365ace4053bd0510df46ea369771a8c063dbd	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	46.4213	71.3966	50.4712	18.5224	52.7146	74.7830	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150/evalseed0
sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150.pth	7f39480df6ad27fc6ff29cebb29365ace4053bd0510df46ea369771a8c063dbd	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	47.8727	74.1092	51.0400	19.4860	55.4211	70.3632	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150/evalseed1
sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150.pth	7f39480df6ad27fc6ff29cebb29365ace4053bd0510df46ea369771a8c063dbd	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.2845	74.4227	51.5667	19.3325	55.9144	73.4249	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150/evalseed2
sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150.pth	7f39480df6ad27fc6ff29cebb29365ace4053bd0510df46ea369771a8c063dbd	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	46.7147	73.0705	51.4086	19.7662	53.0746	73.8793	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150/evalseed3
sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150.pth	7f39480df6ad27fc6ff29cebb29365ace4053bd0510df46ea369771a8c063dbd	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	46.8359	73.9756	50.4744	19.8322	53.8966	70.9875	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p1_geofeat_ft_iter1000_lrmult150/evalseed4
