exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	inference_s_per_img	inference_fps	out_dir
rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1	/data/tiasha_archives_runs/mmdet3_repro10k_teacher_focal_bs4_fixinit_20251223_021511/iter_10000.pth	6cea9986380094972c592b6adc4901837834bc6b47f0025aeaadbdb11609ef7a	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/repro_10k_graph_diffusion_r50_fpn_teacher_focal_bs4.py	1	0	49.9000	76.5000	52.8000	23.3000	58.2000	75.5000	0.036080	27.716	/data/tiasha_archives_runs/mmdet3_evals_20251223/rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1/evalseed0
rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1	/data/tiasha_archives_runs/mmdet3_repro10k_teacher_focal_bs4_fixinit_20251223_021511/iter_10000.pth	6cea9986380094972c592b6adc4901837834bc6b47f0025aeaadbdb11609ef7a	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/repro_10k_graph_diffusion_r50_fpn_teacher_focal_bs4.py	1	1	49.4000	75.4000	52.5000	21.9000	57.8000	76.1000	0.036325	27.529	/data/tiasha_archives_runs/mmdet3_evals_20251223/rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1/evalseed1
rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1	/data/tiasha_archives_runs/mmdet3_repro10k_teacher_focal_bs4_fixinit_20251223_021511/iter_10000.pth	6cea9986380094972c592b6adc4901837834bc6b47f0025aeaadbdb11609ef7a	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/repro_10k_graph_diffusion_r50_fpn_teacher_focal_bs4.py	1	2	49.4000	75.2000	52.9000	21.9000	58.4000	75.2000	0.036445	27.438	/data/tiasha_archives_runs/mmdet3_evals_20251223/rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1/evalseed2
rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1	/data/tiasha_archives_runs/mmdet3_repro10k_teacher_focal_bs4_fixinit_20251223_021511/iter_10000.pth	6cea9986380094972c592b6adc4901837834bc6b47f0025aeaadbdb11609ef7a	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/repro_10k_graph_diffusion_r50_fpn_teacher_focal_bs4.py	1	3	48.6000	76.3000	50.3000	24.4000	55.7000	77.5000	0.036416	27.460	/data/tiasha_archives_runs/mmdet3_evals_20251223/rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1/evalseed3
rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1	/data/tiasha_archives_runs/mmdet3_repro10k_teacher_focal_bs4_fixinit_20251223_021511/iter_10000.pth	6cea9986380094972c592b6adc4901837834bc6b47f0025aeaadbdb11609ef7a	/home/ubuntu/tiasha/archives/mmdet_diffusers/mmdet_configs/repro_10k_graph_diffusion_r50_fpn_teacher_focal_bs4.py	1	4	48.8000	74.5000	51.5000	21.8000	58.0000	75.6000	0.036559	27.353	/data/tiasha_archives_runs/mmdet3_evals_20251223/rerun_mmdet3_teacher_focal_fixinit_20251223_021511_step1/evalseed4
