train_seed	exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
2	sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.6917	75.1368	50.3791	21.4549	54.3683	73.2314	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed0
2	sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	48.5736	75.7142	51.6788	19.5917	55.6190	76.3716	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed1
2	sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.9287	76.9896	53.1096	21.4017	55.2162	74.2319	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed2
2	sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	49.9468	76.6310	53.8863	21.8160	56.0214	77.3897	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed3
2	sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	48.4975	74.9591	51.8232	19.7682	55.5629	75.8320	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed4
3	sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	48.2639	75.6276	50.8125	20.1352	55.9895	72.2799	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed0
3	sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	48.9440	76.1024	50.5393	22.5338	55.6850	72.1238	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed1
3	sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	49.1544	77.1787	50.9435	21.2934	56.3151	72.3136	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed2
3	sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	48.8921	76.2878	50.9165	19.7006	56.0904	75.6121	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed3
3	sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	d23fd8bd3b701031927c0789d54aa5218f2d3ccc2314761fa63fd4d598b1d86d	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	49.0634	76.1847	52.7266	21.1276	56.6198	72.2680	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed3_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed4
4	sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.9549	74.8241	50.5881	22.5390	54.7229	71.7874	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed0
4	sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	48.0417	75.8706	51.1804	22.6620	54.5431	74.3069	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed1
4	sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.5437	76.4653	52.3437	21.6035	55.3709	73.9905	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed2
4	sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.8967	75.2099	51.7579	21.1258	54.8970	75.7020	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed3
4	sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	24f42060be643a2d3625fa5b68f7a3266979330cffde49cf69d155eeb500ed84	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	48.1912	74.4151	51.6227	22.3949	55.4442	76.1974	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed4
