exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed1_iter2500_topk200	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk200.pth	e2d40d8167079ff6ce5cb071d0361e1cc4372ccb049270849ef8d5f356bfe25b	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	46.3202	72.8673	49.9186	18.3247	53.9249	70.0387	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk200/evalseed0
sampler_distill_20to1_seed1_iter2500_topk200	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk200.pth	e2d40d8167079ff6ce5cb071d0361e1cc4372ccb049270849ef8d5f356bfe25b	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	46.0887	72.8300	50.5826	18.8377	53.4048	68.9254	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk200/evalseed1
sampler_distill_20to1_seed1_iter2500_topk200	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk200.pth	e2d40d8167079ff6ce5cb071d0361e1cc4372ccb049270849ef8d5f356bfe25b	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	47.5575	74.7620	48.0471	19.7687	55.5693	70.3847	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk200/evalseed2
sampler_distill_20to1_seed1_iter2500_topk200	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk200.pth	e2d40d8167079ff6ce5cb071d0361e1cc4372ccb049270849ef8d5f356bfe25b	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	44.7009	71.3597	46.4573	19.2887	50.6835	69.9483	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk200/evalseed3
sampler_distill_20to1_seed1_iter2500_topk200	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk200.pth	e2d40d8167079ff6ce5cb071d0361e1cc4372ccb049270849ef8d5f356bfe25b	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	45.3452	72.3618	47.3184	17.8199	52.8375	70.1427	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk200/evalseed4
