variant	train_seed	eval_seed	sample_step	max_iter	geo_feat_lr_mult	AP	AP50	AP75	APs	APm	APl	out_dir
phase2_geofeat_iter2000_lrmult50	1	0	1	2000	50	46.9682	72.97	49.9068	19.0105	53.8945	70.957	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult50_evalseed0
phase2_geofeat_iter2000_lrmult50	1	1	1	2000	50	46.5814	73.4667	47.5206	17.7225	54.3526	70.3797	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult50_evalseed1
phase2_geofeat_iter2000_lrmult50	1	2	1	2000	50	48.1743	74.2604	48.2268	19.9792	56.3553	70.7746	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult50_evalseed2
phase2_geofeat_iter2000_lrmult50	1	3	1	2000	50	45.9191	73.8297	47.2507	17.5239	52.8355	72.4854	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult50_evalseed3
phase2_geofeat_iter2000_lrmult50	1	4	1	2000	50	46.7811	75.1029	49.9141	19.7669	53.7286	71.6539	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult50_evalseed4
phase2_geofeat_iter2000_lrmult100	1	0	1	2000	100	46.8954	72.9501	49.3917	17.2482	54.6383	71.9326	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult100_evalseed0
phase2_geofeat_iter2000_lrmult100	1	1	1	2000	100	46.7126	73.0187	49.4201	19.0726	53.8594	72.7842	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult100_evalseed1
phase2_geofeat_iter2000_lrmult100	1	2	1	2000	100	48.0608	74.9412	48.3431	19.2302	56.0018	72.8838	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult100_evalseed2
phase2_geofeat_iter2000_lrmult100	1	3	1	2000	100	45.8394	72.9393	46.754	17.8367	52.775	72.4379	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult100_evalseed3
phase2_geofeat_iter2000_lrmult100	1	4	1	2000	100	46.7879	75.0656	47.801	20.1423	53.6807	71.1554	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult100_evalseed4
phase2_geofeat_iter2000_lrmult200	1	0	1	2000	200	47.3276	73.9243	51.2244	19.1685	54.8656	71.4323	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult200_evalseed0
phase2_geofeat_iter2000_lrmult200	1	1	1	2000	200	46.9373	73.5317	50.3329	18.4896	54.017	72.3376	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult200_evalseed1
phase2_geofeat_iter2000_lrmult200	1	2	1	2000	200	46.8628	73.8621	46.9097	18.4705	54.3589	71.5258	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult200_evalseed2
phase2_geofeat_iter2000_lrmult200	1	3	1	2000	200	46.0709	73.7232	46.918	19.9056	52.9141	70.204	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult200_evalseed3
phase2_geofeat_iter2000_lrmult200	1	4	1	2000	200	46.0396	73.3363	47.8812	18.3818	53.3547	71.7384	/dev/shm/diffdet_eval_phase2_sweep_seed1_iter2000_lrmult200_evalseed4
