exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	inference_s_per_img	inference_fps	out_dir
ablation_graph_topo_sparse_knn_topk50_seed0_stable	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable.pth	d4f9162ad3bdc8f25c56fe2fcf5046e682845d1661373fcc05d3a66f8a246ff4	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	48.0918	75.6043	50.7352	19.5823	56.6353	68.9200	0.009771	102.346	/home/ubuntu/tiasha/archives/baselines/evals/ablation_graph_topo_sparse_knn_topk50_seed0_stable/evalseed0
ablation_graph_topo_sparse_knn_topk50_seed0_stable	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable.pth	d4f9162ad3bdc8f25c56fe2fcf5046e682845d1661373fcc05d3a66f8a246ff4	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	47.4877	73.8324	50.0862	19.2833	54.7974	71.9510	0.009909	100.913	/home/ubuntu/tiasha/archives/baselines/evals/ablation_graph_topo_sparse_knn_topk50_seed0_stable/evalseed1
ablation_graph_topo_sparse_knn_topk50_seed0_stable	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable.pth	d4f9162ad3bdc8f25c56fe2fcf5046e682845d1661373fcc05d3a66f8a246ff4	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.5879	77.5817	49.1223	20.0914	55.4675	70.9944	0.009994	100.055	/home/ubuntu/tiasha/archives/baselines/evals/ablation_graph_topo_sparse_knn_topk50_seed0_stable/evalseed2
ablation_graph_topo_sparse_knn_topk50_seed0_stable	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable.pth	d4f9162ad3bdc8f25c56fe2fcf5046e682845d1661373fcc05d3a66f8a246ff4	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.5762	75.6963	47.0003	20.3196	55.3182	69.6115	0.009718	102.907	/home/ubuntu/tiasha/archives/baselines/evals/ablation_graph_topo_sparse_knn_topk50_seed0_stable/evalseed3
ablation_graph_topo_sparse_knn_topk50_seed0_stable	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed0_iter2500_stable.pth	d4f9162ad3bdc8f25c56fe2fcf5046e682845d1661373fcc05d3a66f8a246ff4	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	48.6438	75.3980	50.7016	19.1123	56.5345	71.5330	0.009987	100.128	/home/ubuntu/tiasha/archives/baselines/evals/ablation_graph_topo_sparse_knn_topk50_seed0_stable/evalseed4
