sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
50	0	49.1455	77.7573	51.4131	21.1817	57.2072	73.7341	/dev/shm/diffdet_eval_warmstart_seed0_step50/step50_evalseed0
50	1	49.3263	77.5599	52.0108	20.7036	56.8280	74.7808	/dev/shm/diffdet_eval_warmstart_seed0_step50/step50_evalseed1
50	2	49.8843	77.1378	51.5979	22.4832	56.8607	75.6979	/dev/shm/diffdet_eval_warmstart_seed0_step50/step50_evalseed2
50	3	49.1973	77.2855	50.9613	20.8151	57.1259	75.2241	/dev/shm/diffdet_eval_warmstart_seed0_step50/step50_evalseed3
50	4	48.8843	77.2540	50.8157	21.3986	55.8551	75.4455	/dev/shm/diffdet_eval_warmstart_seed0_step50/step50_evalseed4
