exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	inference_s_per_img	inference_fps	out_dir
rerun_baseline_iter10000_seed0_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/baseline_iter10000_seed0.pth	849f3ea2205228a22a1858f171a8d30eb3f294c8647bbf2f8eb993d922a0e830	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k.yaml	1	0	47.3515	73.8125	50.9266	19.9307	54.3589	71.4443	0.008760	114.155	/home/ubuntu/tiasha/archives/baselines/evals/rerun_baseline_iter10000_seed0_step1/evalseed0
rerun_baseline_iter10000_seed0_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/baseline_iter10000_seed0.pth	849f3ea2205228a22a1858f171a8d30eb3f294c8647bbf2f8eb993d922a0e830	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k.yaml	1	1	46.1655	73.1204	47.0347	19.5352	52.6445	72.8926	0.008810	113.511	/home/ubuntu/tiasha/archives/baselines/evals/rerun_baseline_iter10000_seed0_step1/evalseed1
rerun_baseline_iter10000_seed0_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/baseline_iter10000_seed0.pth	849f3ea2205228a22a1858f171a8d30eb3f294c8647bbf2f8eb993d922a0e830	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k.yaml	1	2	47.3498	75.7808	49.7954	20.1683	53.5895	73.1818	0.008963	111.573	/home/ubuntu/tiasha/archives/baselines/evals/rerun_baseline_iter10000_seed0_step1/evalseed2
rerun_baseline_iter10000_seed0_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/baseline_iter10000_seed0.pth	849f3ea2205228a22a1858f171a8d30eb3f294c8647bbf2f8eb993d922a0e830	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k.yaml	1	3	47.6505	74.9709	49.3798	19.7680	53.9725	76.2110	0.008925	112.051	/home/ubuntu/tiasha/archives/baselines/evals/rerun_baseline_iter10000_seed0_step1/evalseed3
rerun_baseline_iter10000_seed0_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/baseline_iter10000_seed0.pth	849f3ea2205228a22a1858f171a8d30eb3f294c8647bbf2f8eb993d922a0e830	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k.yaml	1	4	46.9283	73.5582	47.9563	17.7421	54.5570	74.5335	0.008950	111.735	/home/ubuntu/tiasha/archives/baselines/evals/rerun_baseline_iter10000_seed0_step1/evalseed4
