eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
0	49.1466	76.9008	52.8370	22.6038	55.4389	74.2914	baselines/output/phase6_sampler_distill_20to1_seed0_iter2500_20251219_032053/eval_step1/evalseed0
1	49.3659	76.4230	51.4341	21.8883	55.7673	75.3711	baselines/output/phase6_sampler_distill_20to1_seed0_iter2500_20251219_032053/eval_step1/evalseed1
2	48.8369	76.7066	51.2395	20.8631	55.1185	73.7586	baselines/output/phase6_sampler_distill_20to1_seed0_iter2500_20251219_032053/eval_step1/evalseed2
3	48.4662	74.9135	50.1108	20.0345	55.5953	74.7807	baselines/output/phase6_sampler_distill_20to1_seed0_iter2500_20251219_032053/eval_step1/evalseed3
4	49.9589	76.8944	52.1758	21.8524	56.5162	75.3357	baselines/output/phase6_sampler_distill_20to1_seed0_iter2500_20251219_032053/eval_step1/evalseed4
