exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
d3pm_qhead_warmstart_seed4_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed4_iter2500.pth	7374879127b4a978cc78057f8fdb0bb9a36a877a3ffd3a1d3757316c35760133	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.1688	73.6703	50.7243	20.2331	54.6453	70.5965	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed4_step1/evalseed0
d3pm_qhead_warmstart_seed4_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed4_iter2500.pth	7374879127b4a978cc78057f8fdb0bb9a36a877a3ffd3a1d3757316c35760133	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	47.4739	75.2918	47.3076	21.1584	54.5050	73.1822	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed4_step1/evalseed1
d3pm_qhead_warmstart_seed4_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed4_iter2500.pth	7374879127b4a978cc78057f8fdb0bb9a36a877a3ffd3a1d3757316c35760133	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	47.4965	75.6946	49.4346	19.3723	54.8205	73.1324	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed4_step1/evalseed2
d3pm_qhead_warmstart_seed4_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed4_iter2500.pth	7374879127b4a978cc78057f8fdb0bb9a36a877a3ffd3a1d3757316c35760133	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.6733	75.0151	47.8925	20.7258	54.9048	72.3478	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed4_step1/evalseed3
d3pm_qhead_warmstart_seed4_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed4_iter2500.pth	7374879127b4a978cc78057f8fdb0bb9a36a877a3ffd3a1d3757316c35760133	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	46.9479	73.3697	48.1422	19.4636	54.4252	72.3796	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed4_step1/evalseed4
