dataset	baseline_name	sample_step	ckpt_path	ckpt_sha256	results_tsv	mean_AP	std_AP_pop	mean_MR	mean_JI	mean_inference_fps
lvis	lvis_iter_150000_lvis_graph_diffusion_r50_fpn_teacher_focal_iter150k_bs2_lr2e4_step10	10	/data/tiasha_archives_runs/mmdet3_lvis_teacher_focal_bs2_lr2e4_iter150k_20251224_211248/iter_150000.pth	12678648d5599bf1bfe7e929cfe22d9f6b2ed5030984afff2edfb5066a088943	rerun_mmdet3_lvis_teacher_focal_iter150k_20251224_211248_step10_results.tsv	0	0			6.1298
lvis	lvis_iter_150000_lvis_graph_diffusion_r50_fpn_teacher_focal_iter150k_bs2_lr2e4_step1	1	/data/tiasha_archives_runs/mmdet3_lvis_teacher_focal_bs2_lr2e4_iter150k_20251224_211248/iter_150000.pth	12678648d5599bf1bfe7e929cfe22d9f6b2ed5030984afff2edfb5066a088943	rerun_mmdet3_lvis_teacher_focal_iter150k_20251224_211248_step1_results.tsv	0	0			30.8582
