exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed1_iter2500_topk150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk150.pth	644400b0e4ab9efda5d2812ad3c2460e6d36c32a9c359440f9cab7cb01a03cf5	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	46.0644	72.0731	50.1207	18.0965	53.3132	70.9799	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk150/evalseed0
sampler_distill_20to1_seed1_iter2500_topk150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk150.pth	644400b0e4ab9efda5d2812ad3c2460e6d36c32a9c359440f9cab7cb01a03cf5	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	45.9635	72.9747	47.3151	18.8387	52.9265	68.9221	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk150/evalseed1
sampler_distill_20to1_seed1_iter2500_topk150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk150.pth	644400b0e4ab9efda5d2812ad3c2460e6d36c32a9c359440f9cab7cb01a03cf5	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	47.8725	74.2905	51.2428	19.5480	55.6426	71.9565	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk150/evalseed2
sampler_distill_20to1_seed1_iter2500_topk150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk150.pth	644400b0e4ab9efda5d2812ad3c2460e6d36c32a9c359440f9cab7cb01a03cf5	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	44.8787	72.6027	46.1417	18.5170	51.3263	70.1672	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk150/evalseed3
sampler_distill_20to1_seed1_iter2500_topk150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_topk150.pth	644400b0e4ab9efda5d2812ad3c2460e6d36c32a9c359440f9cab7cb01a03cf5	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	45.1604	72.3074	47.7601	19.1373	52.5284	71.5700	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_topk150/evalseed4
