exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed1_iter2500_boxw0p5	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_boxw0p5.pth	a079254e8e444ac454335c2861a227391dd9cb15427dfb469f19891372a45002	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	46.0025	72.0752	47.7983	18.7166	52.8957	71.2373	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_boxw0p5/evalseed0
sampler_distill_20to1_seed1_iter2500_boxw0p5	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_boxw0p5.pth	a079254e8e444ac454335c2861a227391dd9cb15427dfb469f19891372a45002	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	44.5183	71.0316	46.7907	16.4788	51.4166	69.8312	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_boxw0p5/evalseed1
sampler_distill_20to1_seed1_iter2500_boxw0p5	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_boxw0p5.pth	a079254e8e444ac454335c2861a227391dd9cb15427dfb469f19891372a45002	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	47.4723	75.1051	47.6795	19.2997	55.1202	69.8456	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_boxw0p5/evalseed2
sampler_distill_20to1_seed1_iter2500_boxw0p5	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_boxw0p5.pth	a079254e8e444ac454335c2861a227391dd9cb15427dfb469f19891372a45002	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	45.1267	71.5303	47.7983	19.2324	51.3336	71.4819	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_boxw0p5/evalseed3
sampler_distill_20to1_seed1_iter2500_boxw0p5	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_boxw0p5.pth	a079254e8e444ac454335c2861a227391dd9cb15427dfb469f19891372a45002	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	46.2041	72.8075	50.4767	19.4086	53.8572	72.2369	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_boxw0p5/evalseed4
