exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed1_iter2500_cls0p2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p2.pth	60fd064bf6868d961f771ef27880a9b2bd488f3f0daa4bdd04b7cc6c46592473	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	45.6341	72.0217	48.5208	17.4133	52.9702	70.1477	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p2/evalseed0
sampler_distill_20to1_seed1_iter2500_cls0p2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p2.pth	60fd064bf6868d961f771ef27880a9b2bd488f3f0daa4bdd04b7cc6c46592473	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	46.3226	74.5917	47.7231	18.4713	53.7171	70.0264	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p2/evalseed1
sampler_distill_20to1_seed1_iter2500_cls0p2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p2.pth	60fd064bf6868d961f771ef27880a9b2bd488f3f0daa4bdd04b7cc6c46592473	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	47.9185	75.2906	49.3486	19.9919	55.4670	72.0151	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p2/evalseed2
sampler_distill_20to1_seed1_iter2500_cls0p2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p2.pth	60fd064bf6868d961f771ef27880a9b2bd488f3f0daa4bdd04b7cc6c46592473	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	45.0714	70.9289	48.1373	19.5044	50.8721	70.3626	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p2/evalseed3
sampler_distill_20to1_seed1_iter2500_cls0p2	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed1_iter2500_cls0p2.pth	60fd064bf6868d961f771ef27880a9b2bd488f3f0daa4bdd04b7cc6c46592473	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	45.5262	73.1893	46.7834	19.0322	53.3551	70.2023	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed1_iter2500_cls0p2/evalseed4
