run	framework	seed_or_epoch	AP	AP50	AP75	APs	APm	APl	out_dir
diffdet_repro10k_r50	detectron2	seed=42	44.56135247669924	72.34994498973141	44.2112050685771	19.113581265007433	51.65003112475895	71.69469671700472	/data/tiasha_archives_runs/baselines_output/20251222_095935/repro_10k_diffdet
diffdet_repro10k_r50_d3pm_qhead	detectron2	seed=42	44.47867693541066	71.10594940828899	47.926648552671	17.04820712291518	50.432816155203284	73.80949390371882	/data/tiasha_archives_runs/baselines_output/20251222_095935/repro_10k_diffdet_d3pm_qhead
detr_repro10k_r50_finetune_coco	detr	epoch=49	53.616660002214935	83.10871375871059	56.16558432997524	19.118667568219514	60.18783205387245	79.98993194309806	/data/tiasha_archives_runs/baselines_output/20251222_095935/repro_10k_detr
