exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
d3pm_qhead_warmstart_seed3_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed3_iter2500.pth	058415b085d74eacab9b5761532a7f8bd35951fc5c37b3c3ad89ebed4993e937	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	48.0764	75.4471	48.9148	20.7320	54.9593	73.8319	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed3_step1/evalseed0
d3pm_qhead_warmstart_seed3_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed3_iter2500.pth	058415b085d74eacab9b5761532a7f8bd35951fc5c37b3c3ad89ebed4993e937	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	46.9256	74.3929	47.2128	19.9040	54.4868	73.4482	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed3_step1/evalseed1
d3pm_qhead_warmstart_seed3_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed3_iter2500.pth	058415b085d74eacab9b5761532a7f8bd35951fc5c37b3c3ad89ebed4993e937	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	47.0935	74.2157	50.0222	19.9949	54.1465	74.3717	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed3_step1/evalseed2
d3pm_qhead_warmstart_seed3_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed3_iter2500.pth	058415b085d74eacab9b5761532a7f8bd35951fc5c37b3c3ad89ebed4993e937	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.6566	74.4940	49.7528	19.1340	54.8663	76.8126	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed3_step1/evalseed3
d3pm_qhead_warmstart_seed3_step1	/home/ubuntu/tiasha/archives/baselines/checkpoints/d3pm_qhead_warmstart_baseline_seed3_iter2500.pth	058415b085d74eacab9b5761532a7f8bd35951fc5c37b3c3ad89ebed4993e937	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	47.7895	75.0724	48.6620	20.2645	54.8677	75.9669	/home/ubuntu/tiasha/archives/baselines/evals/d3pm_qhead_warmstart_seed3_step1/evalseed4
