exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.6917	75.1368	50.3791	21.4549	54.3683	73.2314	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed0
sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	48.5736	75.7142	51.6788	19.5917	55.6190	76.3716	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed1
sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.9287	76.9896	53.1096	21.4017	55.2162	74.2319	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed2
sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	49.9468	76.6310	53.8863	21.8160	56.0214	77.3897	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed3
sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150.pth	cdc6fa921d6523274c1c1b3f32f8f642161e3fe454e62947106135d014bc4810	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	48.4975	74.9591	51.8232	19.7682	55.5629	75.8320	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed2_iter2500_stable_geofeat_ft_iter1000_lrmult150/evalseed4
