exp_name	ckpt_path	ckpt_sha256	config_file	sample_step	eval_seed	AP	AP50	AP75	APs	APm	APl	out_dir
sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	9256153291c70c1e99829ecec6f201fa32b7bd0e7551648224c0a6bbf5743164	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	0	47.2242	73.3842	51.3483	19.8566	54.5036	73.8118	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed0
sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	9256153291c70c1e99829ecec6f201fa32b7bd0e7551648224c0a6bbf5743164	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	1	47.2089	74.0332	49.6930	20.8770	54.3632	74.5414	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed1
sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	9256153291c70c1e99829ecec6f201fa32b7bd0e7551648224c0a6bbf5743164	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	2	48.5674	76.5121	53.5861	20.7845	55.8081	74.6700	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed2
sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	9256153291c70c1e99829ecec6f201fa32b7bd0e7551648224c0a6bbf5743164	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	3	47.3925	73.2485	50.4168	19.6117	54.6480	75.5825	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed3
sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25	/home/ubuntu/tiasha/archives/baselines/checkpoints/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25.pth	9256153291c70c1e99829ecec6f201fa32b7bd0e7551648224c0a6bbf5743164	/home/ubuntu/tiasha/archives/baselines/DiffusionDet/configs/diffdet.repro_10k_d3pm_mask_dist_qhead.yaml	1	4	48.2970	74.8175	52.8776	21.9001	54.9080	76.8220	/home/ubuntu/tiasha/archives/baselines/evals/sampler_distill_20to1_seed4_iter2500_stable_geofeat_ft_iter1000_lrmult25/evalseed4
